[2023-10-08 13:55:58.345] [info] Vox format version :: 150
[2023-10-08 13:55:58.345] [info] Header :: MAIN, Content size :: 0, Children size :: 132404
[2023-10-08 13:55:58.345] [info] Header :: SIZE, Content size :: 12, Children size :: 0
[2023-10-08 13:55:58.345] [info] Header :: XYZI, Content size :: 131332, Children size :: 0
[2023-10-08 13:55:58.345] [info] Header :: RGBA, Content size :: 1024, Children size :: 0
[ 64, 128, 0, 0 ]
[ 48, 48, 15, 57 ]
[ 86, 88, 74, 41 ]
[ 48, 88, 5, 59 ]
[ 45, 58, 19, 57 ]
[ 81, 51, 12, 59 ]
[ 86, 49, 18, 59 ]
[ 19, 47, 4, 59 ]
[ 81, 45, 20, 59 ]
[ 48, 86, 73, 41 ]
[ 87, 54, 14, 59 ]
[ 71, 85, 58, 59 ]
[ 86, 50, 16, 59 ]
[ 89, 49, 20, 59 ]
[ 75, 48, 12, 59 ]
[ 45, 53, 17, 57 ]
[ 36, 50, 18, 57 ]
[ 6, 82, 0, 45 ]
[ 86, 54, 58, 59 ]
[ 67, 86, 58, 59 ]
[ 51, 57, 20, 57 ]
[ 85, 46, 12, 59 ]
[ 86, 56, 12, 59 ]
[ 44, 90, 74, 41 ]
[ 71, 32, 22, 41 ]
[ 85, 46, 55, 59 ]
[ 78, 47, 16, 59 ]
[ 48, 49, 20, 57 ]
[ 85, 46, 54, 59 ]
[ 49, 85, 76, 41 ]
[ 49, 56, 21, 57 ]
[ 86, 53, 12, 59 ]
[ 89, 87, 59, 59 ]
[ 86, 86, 76, 41 ]
[ 89, 52, 17, 59 ]
[ 84, 46, 58, 59 ]
[ 89, 89, 74, 41 ]
[ 88, 58, 11, 59 ]
[ 11, 51, 4, 59 ]
[ 63, 86, 58, 59 ]
[ 85, 52, 16, 59 ]
[ 87, 89, 73, 41 ]
[ 85, 88, 73, 41 ]
[ 89, 88, 73, 41 ]
[ 85, 84, 73, 41 ]
[ 88, 88, 73, 41 ]
[ 75, 87, 58, 59 ]
[ 49, 50, 16, 57 ]
[ 87, 51, 13, 59 ]
[ 83, 49, 12, 59 ]
[ 86, 64, 58, 59 ]
[ 86, 46, 12, 59 ]
[ 47, 88, 3, 59 ]
[ 35, 48, 17, 57 ]
[ 45, 88, 50, 59 ]
[ 89, 61, 58, 59 ]
[ 48, 88, 7, 59 ]
[ 86, 48, 54, 59 ]
[ 88, 80, 58, 59 ]
[ 48, 89, 30, 59 ]
[ 83, 88, 58, 59 ]
[ 47, 55, 6, 59 ]
[ 85, 48, 54, 59 ]
[ 88, 88, 77, 41 ]
[ 89, 47, 52, 59 ]
[ 46, 88, 20, 59 ]
[ 47, 67, 15, 57 ]
[ 34, 49, 20, 57 ]
[ 44, 89, 75, 41 ]
[ 39, 45, 16, 57 ]
[ 51, 81, 8, 59 ]
[ 89, 86, 59, 59 ]
[ 8, 41, 2, 59 ]
[ 85, 46, 14, 59 ]
[ 56, 87, 58, 59 ]
[ 85, 84, 76, 41 ]
[ 76, 50, 20, 59 ]
[ 45, 59, 18, 57 ]
[ 45, 61, 18, 57 ]
[ 88, 45, 16, 59 ]
[ 54, 47, 13, 59 ]
[ 75, 47, 21, 59 ]
[ 88, 86, 58, 59 ]
[ 48, 83, 30, 59 ]
[ 89, 48, 48, 59 ]
[ 89, 53, 8, 59 ]
[ 49, 78, 8, 59 ]
[ 46, 87, 4, 59 ]
[ 45, 75, 2, 59 ]
[ 46, 85, 2, 59 ]
[ 20, 45, 9, 59 ]
[ 76, 50, 17, 59 ]
[ 78, 46, 14, 59 ]
[ 48, 86, 21, 59 ]
[ 88, 56, 20, 59 ]
[ 53, 54, 0, 45 ]
[ 89, 47, 53, 59 ]
[ 84, 47, 44, 59 ]
[ 46, 46, 45, 59 ]
[ 44, 89, 74, 41 ]
[ 47, 55, 18, 57 ]
[ 89, 46, 49, 59 ]
[ 79, 48, 16, 59 ]
[ 87, 88, 77, 41 ]
[ 85, 75, 58, 59 ]
[ 89, 48, 44, 59 ]
[ 29, 13, 0, 45 ]
[ 51, 89, 77, 41 ]
[ 73, 51, 58, 59 ]
[ 89, 69, 58, 59 ]
[ 88, 88, 58, 59 ]
[ 81, 50, 12, 59 ]
[ 87, 54, 58, 59 ]
[ 85, 47, 51, 59 ]
[ 85, 46, 16, 59 ]
[ 71, 13, 3, 31 ]
[ 20, 46, 21, 59 ]
[ 85, 74, 58, 59 ]
[ 88, 46, 56, 59 ]
[ 82, 46, 13, 59 ]
[ 47, 85, 74, 41 ]
[ 51, 63, 18, 57 ]
[ 86, 46, 78, 41 ]
[ 46, 57, 19, 57 ]
[ 69, 37, 17, 59 ]
[ 85, 49, 55, 59 ]
[ 73, 13, 0, 45 ]
[ 80, 48, 21, 59 ]
[ 46, 88, 76, 41 ]
[ 46, 51, 21, 57 ]
[ 84, 85, 76, 41 ]
[ 47, 89, 55, 59 ]
[ 88, 60, 13, 59 ]
[ 69, 35, 22, 63 ]
[ 47, 84, 30, 59 ]
[ 19, 49, 11, 59 ]
[ 86, 48, 77, 41 ]
[ 86, 45, 17, 59 ]
[ 19, 50, 3, 59 ]
[ 50, 48, 15, 57 ]
[ 50, 61, 20, 57 ]
[ 85, 46, 51, 59 ]
[ 41, 47, 18, 57 ]
[ 50, 60, 19, 57 ]
[ 85, 47, 20, 59 ]
[ 50, 58, 21, 57 ]
[ 51, 61, 20, 57 ]
[ 50, 84, 78, 41 ]
[ 87, 84, 58, 59 ]
[ 55, 45, 0, 45 ]
[ 46, 55, 16, 57 ]
[ 21, 48, 4, 59 ]
[ 22, 46, 21, 59 ]
[ 88, 63, 58, 59 ]
[ 78, 48, 58, 59 ]
[ 71, 87, 58, 59 ]
[ 48, 52, 17, 57 ]
[ 46, 61, 15, 57 ]
[ 80, 50, 18, 59 ]
[ 81, 46, 58, 59 ]
[ 80, 86, 58, 59 ]
[ 13, 47, 4, 59 ]
[ 89, 52, 16, 59 ]
[ 3, 83, 0, 45 ]
[ 87, 75, 58, 59 ]
[ 45, 67, 18, 57 ]
[ 47, 77, 17, 59 ]
[ 87, 47, 50, 59 ]
[ 82, 51, 11, 59 ]
[ 41, 51, 17, 57 ]
[ 43, 55, 1, 59 ]
[ 74, 35, 18, 59 ]
[ 46, 82, 10, 59 ]
[ 47, 89, 41, 59 ]
[ 85, 47, 49, 59 ]
[ 87, 49, 18, 59 ]
[ 47, 87, 57, 59 ]
[ 46, 80, 12, 59 ]
[ 12, 49, 7, 59 ]
[ 28, 81, 0, 45 ]
[ 18, 45, 1, 59 ]
[ 61, 85, 58, 59 ]
[ 39, 49, 18, 57 ]
[ 85, 65, 58, 59 ]
[ 47, 83, 0, 45 ]
[ 88, 86, 78, 41 ]
[ 86, 81, 58, 59 ]
[ 85, 45, 18, 59 ]
[ 48, 57, 16, 57 ]
[ 81, 48, 21, 59 ]
[ 46, 82, 6, 59 ]
[ 49, 86, 75, 41 ]
[ 88, 84, 59, 47 ]
[ 48, 84, 4, 59 ]
[ 76, 88, 58, 59 ]
[ 45, 62, 18, 57 ]
[ 7, 47, 12, 59 ]
[ 39, 77, 3, 31 ]
[ 9, 31, 1, 59 ]
[ 78, 45, 21, 59 ]
[ 48, 53, 45, 25 ]
[ 10, 32, 3, 59 ]
[ 88, 64, 58, 59 ]
[ 48, 57, 18, 57 ]
[ 89, 52, 14, 59 ]
[ 87, 87, 76, 41 ]
[ 86, 57, 58, 59 ]
[ 83, 46, 45, 59 ]
[ 51, 50, 19, 57 ]
[ 48, 85, 23, 59 ]
[ 88, 53, 58, 59 ]
[ 42, 52, 13, 59 ]
[ 87, 84, 59, 47 ]
[ 47, 60, 20, 57 ]
[ 87, 47, 58, 59 ]
[ 87, 46, 78, 41 ]
[ 19, 46, 4, 59 ]
[ 47, 76, 9, 59 ]
[ 48, 85, 3, 59 ]
[ 40, 47, 17, 57 ]
[ 50, 78, 8, 59 ]
[ 83, 87, 72, 41 ]
[ 47, 82, 58, 59 ]
[ 47, 88, 55, 59 ]
[ 47, 88, 44, 59 ]
[ 84, 45, 45, 59 ]
[ 76, 47, 16, 59 ]
[ 48, 79, 0, 45 ]
[ 68, 42, 9, 59 ]
[ 45, 54, 21, 57 ]
[ 48, 88, 78, 41 ]
[ 48, 87, 2, 59 ]
[ 79, 49, 18, 59 ]
[ 39, 50, 20, 57 ]
[ 89, 52, 18, 59 ]
[ 72, 31, 22, 63 ]
[ 76, 51, 10, 59 ]
[ 46, 48, 20, 57 ]
[ 40, 49, 18, 57 ]
[ 48, 85, 74, 41 ]
[ 13, 51, 20, 59 ]
[ 15, 46, 14, 59 ]
[ 88, 48, 78, 41 ]
[ 86, 55, 58, 59 ]
[ 77, 51, 21, 59 ]
[ 46, 70, 21, 59 ]
[ 45, 88, 73, 41 ]
[ 20, 48, 6, 59 ]
[ 89, 49, 54, 59 ]
[ 67, 85, 58, 59 ]
[ 79, 46, 16, 59 ]
[ 89, 46, 46, 59 ]
[ 89, 50, 58, 59 ]
[ 86, 48, 55, 59 ]
[ 79, 50, 58, 59 ]
[ 51, 56, 19, 57 ]
[ 9, 32, 1, 59 ]
[ 50, 65, 18, 57 ]
[ 69, 85, 58, 59 ]
[ 89, 63, 14, 59 ]
[ 46, 61, 16, 57 ]
[ 46, 89, 1, 59 ]
[ 9, 31, 2, 59 ]
[ 87, 52, 58, 59 ]
[ 21, 47, 5, 59 ]
[ 70, 88, 58, 59 ]
[ 83, 49, 18, 59 ]
[ 89, 55, 17, 59 ]
[ 46, 89, 37, 59 ]
[ 84, 54, 12, 59 ]
[ 78, 47, 58, 59 ]
[ 87, 50, 58, 59 ]
[ 88, 52, 18, 59 ]
[ 85, 69, 58, 59 ]
[ 86, 89, 75, 41 ]
[ 89, 46, 57, 59 ]
[ 84, 86, 58, 59 ]
[ 87, 57, 17, 59 ]
[ 47, 47, 18, 57 ]
[ 41, 46, 20, 57 ]
[ 52, 86, 74, 41 ]
[ 85, 49, 54, 59 ]
[ 86, 49, 77, 41 ]
[ 75, 47, 13, 59 ]
[ 48, 50, 43, 59 ]
[ 84, 48, 21, 59 ]
[ 84, 59, 16, 59 ]
[ 7, 46, 11, 59 ]
[ 46, 50, 44, 59 ]
[ 49, 89, 76, 41 ]
[ 89, 45, 17, 59 ]
[ 85, 48, 18, 59 ]
[ 48, 55, 18, 57 ]
[ 86, 64, 18, 59 ]
[ 45, 89, 77, 41 ]
[ 86, 46, 50, 59 ]
[ 45, 83, 48, 59 ]
[ 85, 54, 16, 59 ]
[ 85, 47, 55, 59 ]
[ 81, 82, 58, 59 ]
[ 88, 53, 13, 59 ]
[ 85, 88, 77, 41 ]
[ 86, 50, 20, 59 ]
[ 48, 87, 23, 59 ]
[ 41, 51, 19, 57 ]
[ 48, 89, 74, 41 ]
[ 84, 88, 76, 41 ]
[ 83, 56, 18, 59 ]
[ 49, 51, 19, 57 ]
[ 80, 51, 20, 59 ]
[ 89, 88, 59, 59 ]
[ 39, 51, 20, 57 ]
[ 47, 87, 76, 41 ]
[ 87, 56, 18, 59 ]
[ 88, 46, 78, 41 ]
[ 48, 88, 73, 41 ]
[ 46, 49, 17, 57 ]
[ 87, 47, 77, 41 ]
[ 48, 84, 3, 59 ]
[ 65, 85, 58, 59 ]
[ 8, 48, 10, 59 ]
[ 89, 78, 58, 59 ]
[ 83, 58, 17, 59 ]
[ 50, 85, 75, 41 ]
[ 47, 41, 6, 59 ]
[ 85, 61, 58, 59 ]
[ 47, 88, 56, 59 ]
[ 41, 45, 17, 57 ]
[ 89, 48, 77, 41 ]
[ 83, 63, 5, 59 ]
[ 48, 86, 5, 59 ]
[ 85, 50, 58, 59 ]
[ 86, 49, 51, 59 ]
[ 72, 35, 8, 59 ]
[ 20, 86, 1, 31 ]
[ 89, 84, 58, 59 ]
[ 75, 48, 20, 59 ]
[ 19, 47, 6, 59 ]
[ 88, 54, 20, 59 ]
[ 83, 45, 60, 59 ]
[ 89, 89, 69, 59 ]
[ 89, 46, 58, 59 ]
[ 0, 83, 0, 45 ]
[ 90, 82, 58, 59 ]
[ 44, 84, 73, 41 ]
[ 47, 88, 25, 59 ]
[ 49, 84, 74, 41 ]
[ 74, 87, 58, 59 ]
[ 41, 45, 20, 57 ]
[ 48, 54, 16, 57 ]
[ 47, 84, 13, 59 ]
[ 77, 87, 58, 59 ]
[ 87, 49, 11, 59 ]
[ 19, 46, 21, 59 ]
[ 48, 86, 43, 59 ]
[ 89, 53, 13, 59 ]
[ 88, 86, 75, 41 ]
[ 51, 57, 18, 57 ]
[ 44, 86, 73, 41 ]
[ 60, 88, 58, 59 ]
[ 41, 49, 17, 57 ]
[ 47, 52, 19, 57 ]
[ 85, 46, 52, 59 ]
[ 45, 78, 8, 59 ]
[ 47, 89, 53, 59 ]
[ 45, 88, 48, 59 ]
[ 46, 84, 74, 41 ]
[ 45, 80, 15, 59 ]
[ 86, 47, 56, 59 ]
[ 89, 48, 54, 59 ]
[ 48, 42, 11, 59 ]
[ 74, 88, 58, 59 ]
[ 84, 87, 58, 59 ]
[ 47, 86, 25, 59 ]
[ 45, 88, 39, 59 ]
[ 73, 33, 22, 63 ]
[ 48, 83, 27, 59 ]
[ 80, 46, 58, 59 ]
[ 88, 48, 50, 59 ]
[ 41, 50, 17, 57 ]
[ 86, 90, 58, 59 ]
[ 50, 48, 43, 59 ]
[ 48, 84, 51, 59 ]
[ 86, 46, 77, 41 ]
[ 47, 83, 2, 59 ]
[ 47, 55, 8, 59 ]
[ 84, 56, 18, 59 ]
[ 48, 51, 3, 57 ]
[ 55, 46, 11, 59 ]
[ 32, 46, 21, 57 ]
[ 86, 49, 53, 59 ]
[ 83, 49, 58, 59 ]
[ 45, 53, 15, 57 ]
[ 85, 49, 58, 59 ]
[ 84, 50, 71, 41 ]
[ 89, 47, 56, 59 ]
[ 45, 89, 26, 59 ]
[ 76, 47, 10, 59 ]
[ 50, 88, 73, 41 ]
[ 6, 45, 14, 59 ]
[ 11, 34, 4, 59 ]
[ 47, 84, 12, 59 ]
[ 6, 47, 6, 59 ]
[ 75, 46, 17, 59 ]
[ 51, 41, 11, 59 ]
[ 83, 49, 77, 41 ]
[ 86, 88, 76, 41 ]
[ 87, 47, 55, 59 ]
[ 16, 46, 3, 59 ]
[ 88, 68, 58, 59 ]
[ 7, 50, 17, 59 ]
[ 87, 46, 52, 59 ]
[ 48, 87, 22, 59 ]
[ 46, 87, 77, 41 ]
[ 48, 73, 58, 59 ]
[ 79, 50, 20, 59 ]
[ 85, 48, 49, 59 ]
[ 47, 78, 7, 59 ]
[ 46, 89, 77, 41 ]
[ 85, 52, 12, 59 ]
[ 41, 42, 4, 59 ]
[ 7, 85, 0, 45 ]
[ 46, 86, 25, 59 ]
[ 41, 48, 15, 57 ]
[ 76, 49, 10, 59 ]
[ 69, 88, 58, 59 ]
[ 8, 45, 1, 59 ]
[ 88, 52, 14, 59 ]
[ 89, 48, 57, 59 ]
[ 83, 55, 20, 59 ]
[ 85, 50, 10, 59 ]
[ 86, 58, 13, 59 ]
[ 44, 84, 74, 41 ]
[ 46, 76, 2, 59 ]
[ 74, 44, 9, 59 ]
[ 86, 46, 18, 59 ]
[ 50, 85, 73, 41 ]
[ 51, 47, 21, 57 ]
[ 88, 48, 53, 59 ]
[ 52, 89, 74, 41 ]
[ 75, 46, 58, 59 ]
[ 84, 46, 71, 41 ]
[ 44, 87, 74, 41 ]
[ 46, 77, 19, 59 ]
[ 45, 48, 45, 25 ]
[ 49, 49, 39, 59 ]
[ 85, 47, 21, 59 ]
[ 87, 89, 58, 59 ]
[ 64, 85, 58, 59 ]
[ 19, 51, 5, 59 ]
[ 77, 47, 16, 59 ]
[ 87, 48, 58, 59 ]
[ 45, 79, 1, 59 ]
[ 84, 45, 16, 59 ]
[ 62, 85, 58, 59 ]
[ 48, 82, 9, 59 ]
[ 48, 83, 28, 59 ]
[ 40, 50, 21, 57 ]
[ 48, 85, 77, 41 ]
[ 87, 87, 77, 41 ]
[ 86, 88, 77, 41 ]
[ 48, 86, 4, 59 ]
[ 47, 82, 0, 45 ]
[ 46, 88, 74, 41 ]
[ 51, 47, 41, 59 ]
[ 87, 63, 3, 59 ]
[ 74, 34, 1, 59 ]
[ 14, 46, 3, 59 ]
[ 86, 63, 58, 59 ]
[ 47, 57, 15, 57 ]
[ 86, 60, 12, 59 ]
[ 89, 46, 52, 59 ]
[ 78, 49, 13, 59 ]
[ 50, 61, 16, 57 ]
[ 49, 49, 44, 59 ]
[ 45, 49, 16, 57 ]
[ 48, 84, 33, 59 ]
[ 34, 46, 21, 57 ]
[ 76, 48, 20, 59 ]
[ 47, 83, 20, 59 ]
[ 83, 54, 12, 59 ]
[ 82, 50, 20, 59 ]
[ 50, 66, 21, 57 ]
[ 84, 88, 73, 41 ]
[ 86, 51, 18, 59 ]
[ 88, 48, 58, 59 ]
[ 48, 84, 75, 41 ]
[ 85, 67, 58, 59 ]
[ 49, 86, 73, 41 ]
[ 84, 46, 12, 59 ]
[ 9, 33, 1, 59 ]
[ 41, 49, 21, 57 ]
[ 89, 48, 47, 59 ]
[ 86, 64, 7, 59 ]
[ 77, 48, 58, 59 ]
[ 45, 49, 21, 57 ]
[ 88, 69, 58, 59 ]
[ 90, 81, 58, 59 ]
[ 76, 47, 58, 59 ]
[ 47, 84, 76, 41 ]
[ 85, 48, 17, 59 ]
[ 47, 87, 52, 59 ]
[ 85, 65, 6, 59 ]
[ 86, 54, 12, 59 ]
[ 88, 47, 52, 59 ]
[ 9, 32, 2, 59 ]
[ 86, 88, 78, 41 ]
[ 65, 88, 58, 59 ]
[ 85, 54, 58, 59 ]
[ 80, 49, 58, 59 ]
[ 47, 87, 39, 59 ]
[ 45, 83, 19, 59 ]
[ 88, 65, 16, 59 ]
[ 63, 89, 58, 59 ]
[ 89, 89, 73, 41 ]
[ 86, 47, 18, 59 ]
[ 47, 89, 43, 59 ]
[ 39, 47, 19, 57 ]
[ 86, 46, 52, 59 ]
[ 47, 83, 16, 59 ]
[ 86, 84, 74, 41 ]
[ 47, 68, 20, 57 ]
[ 45, 64, 16, 57 ]
[ 45, 88, 76, 41 ]
[ 47, 87, 6, 59 ]
[ 50, 85, 9, 59 ]
[ 82, 45, 16, 59 ]
[ 87, 50, 15, 59 ]
[ 76, 51, 16, 59 ]
[ 46, 80, 20, 59 ]
[ 72, 20, 6, 31 ]
[ 54, 51, 7, 59 ]
[ 46, 86, 52, 59 ]
[ 91, 89, 58, 59 ]
[ 62, 21, 1, 31 ]
[ 88, 45, 77, 41 ]
[ 88, 52, 17, 59 ]
[ 47, 87, 45, 59 ]
[ 32, 50, 18, 57 ]
[ 89, 49, 48, 59 ]
[ 86, 49, 49, 59 ]
[ 46, 81, 19, 59 ]
[ 74, 36, 17, 59 ]
[ 79, 89, 58, 59 ]
[ 45, 87, 17, 59 ]
[ 50, 84, 74, 41 ]
[ 77, 46, 12, 59 ]
[ 72, 42, 9, 59 ]
[ 83, 49, 78, 41 ]
[ 41, 47, 15, 57 ]
[ 9, 31, 3, 59 ]
[ 89, 49, 49, 59 ]
[ 80, 51, 18, 59 ]
[ 83, 58, 18, 59 ]
[ 51, 57, 17, 57 ]
[ 6, 34, 2, 59 ]
[ 50, 53, 16, 57 ]
[ 50, 63, 18, 57 ]
[ 83, 58, 14, 59 ]
[ 68, 86, 58, 59 ]
[ 51, 52, 18, 57 ]
[ 45, 86, 1, 59 ]
[ 47, 80, 19, 59 ]
[ 38, 45, 20, 57 ]
[ 70, 33, 11, 59 ]
[ 47, 82, 9, 59 ]
[ 47, 81, 10, 59 ]
[ 48, 89, 19, 59 ]
[ 47, 46, 18, 57 ]
[ 86, 60, 58, 59 ]
[ 89, 45, 16, 59 ]
[ 87, 87, 58, 59 ]
[ 47, 84, 1, 59 ]
[ 46, 87, 26, 59 ]
[ 47, 86, 26, 59 ]
[ 83, 89, 69, 59 ]
[ 85, 45, 77, 41 ]
[ 48, 61, 17, 57 ]
[ 35, 49, 18, 57 ]
[ 84, 50, 18, 59 ]
[ 45, 90, 73, 41 ]
[ 51, 46, 18, 57 ]
[ 89, 80, 58, 59 ]
[ 86, 47, 51, 59 ]
[ 85, 50, 18, 59 ]
[ 46, 85, 76, 41 ]
[ 86, 50, 58, 59 ]
[ 51, 87, 75, 41 ]
[ 47, 89, 75, 41 ]
[ 77, 48, 20, 59 ]
[ 37, 50, 15, 57 ]
[ 87, 48, 51, 59 ]
[ 89, 49, 52, 59 ]
[ 85, 46, 56, 59 ]
[ 48, 86, 6, 59 ]
[ 38, 45, 17, 57 ]
[ 46, 84, 12, 59 ]
[ 84, 87, 75, 41 ]
[ 85, 85, 75, 41 ]
[ 48, 88, 74, 41 ]
[ 85, 49, 52, 59 ]
[ 76, 46, 58, 59 ]
[ 52, 86, 75, 41 ]
[ 85, 84, 58, 59 ]
[ 86, 53, 18, 59 ]
[ 87, 45, 18, 59 ]
[ 46, 77, 8, 59 ]
[ 87, 51, 10, 59 ]
[ 82, 48, 21, 59 ]
[ 70, 87, 58, 59 ]
[ 47, 84, 74, 41 ]
[ 67, 87, 58, 59 ]
[ 51, 53, 21, 57 ]
[ 72, 51, 58, 59 ]
[ 85, 54, 20, 59 ]
[ 40, 51, 20, 57 ]
[ 81, 51, 15, 59 ]
[ 87, 50, 20, 59 ]
[ 84, 51, 16, 59 ]
[ 44, 90, 73, 41 ]
[ 88, 50, 18, 59 ]
[ 85, 63, 14, 59 ]
[ 48, 89, 76, 41 ]
[ 51, 53, 16, 57 ]
[ 87, 58, 12, 59 ]
[ 89, 89, 66, 59 ]
[ 11, 45, 17, 59 ]
[ 18, 46, 1, 59 ]
[ 45, 84, 73, 41 ]
[ 49, 58, 20, 57 ]
[ 87, 48, 49, 59 ]
[ 72, 87, 58, 59 ]
[ 46, 84, 30, 59 ]
[ 10, 49, 15, 59 ]
[ 86, 86, 77, 41 ]
[ 88, 61, 16, 59 ]
[ 9, 90, 0, 45 ]
[ 76, 47, 21, 59 ]
[ 41, 50, 16, 57 ]
[ 88, 49, 58, 59 ]
[ 47, 78, 2, 59 ]
[ 23, 15, 0, 45 ]
[ 19, 46, 18, 59 ]
[ 88, 59, 9, 59 ]
[ 46, 87, 18, 59 ]
[ 44, 85, 74, 41 ]
[ 83, 89, 61, 59 ]
[ 59, 86, 58, 59 ]
[ 83, 56, 10, 59 ]
[ 85, 86, 77, 41 ]
[ 48, 86, 74, 41 ]
[ 84, 84, 75, 41 ]
[ 78, 88, 58, 59 ]
[ 47, 78, 10, 59 ]
[ 84, 53, 20, 59 ]
[ 76, 87, 58, 59 ]
[ 62, 88, 58, 59 ]
[ 37, 48, 18, 57 ]
[ 32, 49, 17, 57 ]
[ 50, 51, 16, 57 ]
[ 80, 49, 20, 59 ]
[ 48, 47, 16, 57 ]
[ 68, 37, 9, 59 ]
[ 50, 61, 19, 57 ]
[ 87, 61, 58, 59 ]
[ 44, 88, 74, 41 ]
[ 47, 87, 2, 59 ]
[ 77, 88, 58, 59 ]
[ 47, 50, 45, 59 ]
[ 49, 44, 0, 45 ]
[ 84, 52, 18, 59 ]
[ 49, 89, 75, 41 ]
[ 48, 67, 21, 57 ]
[ 8, 36, 0, 45 ]
[ 78, 86, 58, 59 ]
[ 73, 45, 9, 59 ]
[ 47, 84, 38, 59 ]
[ 86, 58, 58, 59 ]
[ 85, 49, 46, 59 ]
[ 57, 88, 58, 59 ]
[ 50, 85, 76, 41 ]
[ 89, 49, 77, 41 ]
[ 45, 78, 2, 59 ]
[ 89, 48, 14, 59 ]
[ 85, 68, 58, 59 ]
[ 47, 61, 20, 57 ]
[ 75, 47, 18, 59 ]
[ 45, 87, 74, 41 ]
[ 47, 54, 19, 57 ]
[ 21, 45, 18, 59 ]
[ 16, 46, 10, 59 ]
[ 47, 87, 75, 41 ]
[ 49, 46, 42, 59 ]
[ 36, 45, 19, 57 ]
[ 84, 50, 48, 59 ]
[ 41, 51, 20, 57 ]
[ 19, 47, 3, 59 ]
[ 83, 51, 44, 59 ]
[ 88, 47, 57, 59 ]
[ 86, 70, 58, 59 ]
[ 86, 47, 77, 41 ]
[ 18, 45, 17, 59 ]
[ 85, 87, 76, 41 ]
[ 73, 50, 58, 59 ]
[ 84, 45, 13, 59 ]
[ 46, 87, 24, 59 ]
[ 46, 78, 10, 59 ]
[ 47, 89, 54, 59 ]
[ 85, 85, 76, 41 ]
[ 46, 87, 74, 41 ]
[ 86, 49, 20, 59 ]
[ 41, 51, 21, 57 ]
[ 47, 86, 77, 41 ]
[ 82, 45, 20, 59 ]
[ 89, 47, 77, 41 ]
[ 47, 90, 75, 41 ]
[ 87, 49, 49, 59 ]
[ 76, 50, 16, 59 ]
[ 48, 67, 17, 57 ]
[ 70, 35, 22, 63 ]
[ 6, 31, 3, 59 ]
[ 88, 84, 58, 59 ]
[ 19, 49, 2, 59 ]
[ 87, 85, 74, 41 ]
[ 86, 47, 52, 59 ]
[ 49, 54, 20, 57 ]
[ 48, 83, 2, 59 ]
[ 81, 49, 15, 59 ]
[ 80, 46, 16, 59 ]
[ 46, 87, 73, 41 ]
[ 76, 45, 10, 59 ]
[ 91, 84, 58, 59 ]
[ 38, 45, 16, 57 ]
[ 46, 89, 15, 59 ]
[ 34, 50, 17, 57 ]
[ 83, 57, 16, 59 ]
[ 20, 46, 17, 59 ]
[ 87, 54, 20, 59 ]
[ 47, 58, 21, 57 ]
[ 14, 46, 14, 59 ]
[ 75, 48, 17, 59 ]
[ 46, 90, 75, 41 ]
[ 45, 80, 12, 59 ]
[ 48, 45, 20, 57 ]
[ 82, 45, 21, 59 ]
[ 86, 46, 13, 59 ]
[ 87, 50, 14, 59 ]
[ 91, 91, 58, 59 ]
[ 89, 48, 52, 59 ]
[ 83, 59, 13, 59 ]
[ 91, 83, 58, 59 ]
[ 83, 58, 11, 59 ]
[ 73, 34, 21, 59 ]
[ 77, 45, 16, 59 ]
[ 86, 45, 14, 59 ]
[ 45, 89, 25, 59 ]
[ 47, 90, 73, 41 ]
[ 71, 50, 58, 59 ]
[ 47, 87, 4, 59 ]
[ 41, 47, 21, 57 ]
